job title,company name,location,skills,links
Odoo Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),
Senior Python Backend Developer,InnovaDigits -,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL,
Senior Python Backend Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT),
Senior Python Backend Developer,Stackzy -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science,
Senior / Mid Senior Python (Django) Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT),
Python Developer for Sports Statistics.,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming,
Senior Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,
Python Backend Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,
Senior Python Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST,
Python Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Applications · Computer Science · Design · Engineering · Implementation · Software Development · Information Technology (IT) · Mathematics,
Senior Python / Django Developer,Houya Arrow -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Development · Software · Software Development · SDLC · Web · Web Applications,
Senior Python Developer,Tqniat Lab L.L.C -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Django · Linux · NodeJS · MySQL,
Senior Python Developer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · PHP · PHP Development · PHP Web Development · Python · python development · CSS3 · HTML5,
Senior Python Developer,Furdtk -,"Kuwait City, Kuwait ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · API · Odoo · Linux · Python · Computer Science · Design · HTML,
Senior Python Backend Developer,Royal Herbs  -,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software,
Senior Full Stack Instructor (PHP - Python),,,,
Odoo Developer - Kuwait,,,,
Odoo Developer,,,,
